summary_nr,rel_insp_nr,age,sex,nature_of_inj,part_of_body,src_of_injury,event_type,evn_factor,hum_factor,occ_code,degree_of_inj,task_assigned,hazsub,const_op,const_op_cause,fat_cause,fall_distance,fall_ht,injury_line_nr,load_dt
221210990,344547476,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344440169,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344449723,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344450739,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344547229,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344455571,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221211055,344406434,0,,21,4,41,2,17,1,853,1,2,,11,,,,,1,2020-07-27 00:19:05 EDT
221211105,344406665,0,,12,13,8,6,6,1,869,1,2,,17,,4,,,1,2020-07-27 00:19:05 EDT
221211246,344407754,0,,21,4,29,1,18,14,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211253,344278726,0,,21,5,30,1,18,14,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211261,344407853,0,,12,14,27,1,8,18,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211287,344188651,0,,21,4,27,1,18,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211337,344409016,0,,21,13,30,1,18,14,844,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211337,344409370,0,,21,13,30,1,18,14,844,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211337,344409743,0,,21,13,30,1,18,14,844,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211360,344408901,0,,17,4,9,8,9,1,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211469,344409586,0,,7,19,29,1,13,1,889,1,2,,32,,,,,1,2020-07-27 00:19:05 EDT
221211477,344399464,0,,3,4,24,5,8,1,496,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211493,344409644,0,,21,13,29,1,18,14,806,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211501,344409727,0,,21,20,26,2,18,1,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211550,344409966,0,,21,31,43,14,18,14,95,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211592,344410139,0,,3,19,24,1,6,11,783,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211675,344410352,0,,2,2,29,2,8,1,804,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211709,344384755,0,,21,18,29,1,18,1,7050,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211741,344173349,0,,12,20,43,1,8,18,889,1,2,,,,,,,1,2020-02-27 00:19:47 EST
221211741,344167028,0,,12,20,43,1,8,18,889,1,2,,,,,,,1,2020-02-27 00:19:47 EST
221211915,344411830,0,,10,4,15,13,18,20,534,1,2,,24,,9,,,1,2020-07-27 00:19:05 EDT
221211949,343955241,0,,21,13,43,5,18,1,869,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221211956,344412721,0,,21,31,15,14,18,14,523,1,2,,,,9,,,1,2020-07-27 00:19:05 EDT
221211980,344412986,0,,21,13,43,14,18,14,16,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221212012,344413398,0,,6,20,42,5,13,9,,1,2,,53,,,,,1,2020-07-27 00:19:05 EDT
221212137,344396585,0,,6,13,12,5,18,14,579,1,2,,15,,14,,,1,2020-07-27 00:19:05 EDT
